date,state_id,deaths,new_positive_tests,new_negative_tests,new_hospitalizations
2020/6/19,31,1197,1652,16983,0
2020/6/19,32,71,32,1919,2
2020/6/19,33,240,189,2844,25
2020/6/19,34,331,14,1727,2
2020/6/19,35,14585,389,22220,257
2020/6/19,36,456,88,4190,11
2020/6/19,37,491,410,3154,0
2020/6/19,38,24686,796,78507,0
2020/6/19,39,2667,609,15403,63
2020/6/19,40,367,352,4673,63
2020/6/19,41,188,206,4575,13
2020/6/19,42,6399,526,12624,0
2020/6/19,43,147,84,0,0
2020/6/19,44,894,59,1181,11
2020/6/19,45,639,1083,6694,239
2020/6/19,46,81,49,791,4
2020/6/19,47,515,1188,8107,29
2020/6/19,48,2140,3454,12719,0
2020/6/19,49,155,586,4087,25
2020/6/19,50,1602,555,9788,75
2020/6/19,51,6,1,96,0
2020/6/19,52,56,9,1133,0
2020/6/19,53,1245,517,9489,21
2020/6/19,54,730,323,10838,17
2020/6/19,55,88,17,1568,0
2020/6/19,56,20,29,291,1
2020/6/18,1,12,12,3464,0
